category,picture,title,link,product_id,price,color,brand
Men Training,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/af6c71af99264c8abd65a92200c60091_9366/reebok-crossfit-nano-2.0.jpg",Reebok CrossFit Nano 2.0,https://www.reebok.com/us/reebok-crossfit-nano-2.0/J90890.html,J90890,110,Vitamin C / White / Black / Grey,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/52da445760b04bb98f37aa5b014c1407_9366/instapump-fury-og.jpg",InstaPump Fury OG,https://www.reebok.com/us/instapump-fury-og/M40934.html,M40934,160,Black / WHITE,Reebok
Men Casual,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/810a30961a5e4fcf8b49a3d60095c15a_9366/reebok-royal-trainer-4e.jpg",Reebok Royal Trainer 4E,https://www.reebok.com/us/reebok-royal-trainer-4e/M43104.html,M43104,59.99,Black / Flat Grey,Reebok
Men Casual,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/778487af6ab2407ca13da3d600963970_9366/reebok-royal-trainer-4e.jpg",Reebok Royal Trainer 4E,https://www.reebok.com/us/reebok-royal-trainer-4e/M43106.html,M43106,59.99,White / Reebok Navy / Pure Silver,Reebok
Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/4e410024347e4c4bac63a9ab0161ef25_9366/instapump-fury-og.jpg",InstaPump Fury OG,https://www.reebok.com/us/instapump-fury-og/M48756.html,M48756,180,Echo Blue / Black / Steel / Matte Silver,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/55a38c4f5dd4421e817ba49701653b53_9366/bolton.jpg",Bolton,https://www.reebok.com/us/bolton/M49098.html,M49098,100,Chalk / White / Red Rush / California Blue,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/13178276c39745938a2ca4770138a208_9366/bolton.jpg",Bolton,https://www.reebok.com/us/bolton/M49231.html,M49231,100,Chalk / White / Magenta Pop / Team Purple,Reebok
Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/d4c0f4cdc70249b49c8fa98a01712d31_9366/instapump-fury-og.jpg",InstaPump Fury OG,https://www.reebok.com/us/instapump-fury-og/V47514.html,V47514,180,Black / Hypergreen / Rbk Red / White,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/1dc68173879a4b7d915ba5cb01736756_9366/reebok-club-memt.jpg",Reebok Club MEMT,https://www.reebok.com/us/reebok-club-memt/V63340.html,V63340,59.99,White / Steel,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/463eb46b0eaa4e229203a4dd0129f65b_9366/reebok-club-memt.jpg",Reebok Club MEMT,https://www.reebok.com/us/reebok-club-memt/V63478.html,V63478,65,Black / Dark Grey Heather / Solid Grey,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/38b74e78eab34bf3be77a4e4013e7a05_9366/reebok-club-memt.jpg",Reebok Club MEMT,https://www.reebok.com/us/reebok-club-memt/V67513.html,V67513,65,White / Collegiate Navy,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/3108369a42714ba6a9c2aa99017b457a_9366/club-c-85-vintage-shoes.jpg",Club C 85 Vintage Shoes,https://www.reebok.com/us/club-c-85-vintage-shoes/V67899.html,V67899,75,Chalk / PAPERWHITE,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/ea3dbdaadaa84dcdb81fa4ba00f31daf_9366/reebok-club-memt-wide-4e.jpg",Reebok Club MEMT Wide 4E,https://www.reebok.com/us/reebok-club-memt-wide-4e/V68165.html,V68165,59.99,White / Steel,Reebok
Men Classics,"https://assets.reebok.com/images/w_385,h_385,f_auto,q_auto:sensitive,fl_lossy/591df40e32ec45f0a092a4ba00f3a758_9366/reebok-club-memt-wide-4e.jpg",Reebok Club MEMT Wide 4E,https://www.reebok.com/us/reebok-club-memt-wide-4e/V68166.html,V68166,65,Black / Dark Heather Grey / Solid Grey,Reebok
